r_gen,gen_func,fit_func,mean,pull_median,pull_mean,fail_rate
0.0,0,0,0.3422677389336828,0.020958751393534047,-0.2269709597204727,0.0226
0.0,1,0,0.3440672697974994,0.012004530011325011,-0.23507959064292322,0.0098
0.0,0,1,0.1722891389800554,-0.4697591436217661,-0.6634541942991564,0.0364
0.0,1,1,0.313640678312723,-0.06981585268214557,-0.31200345084544645,0.015
1.0,0,0,0.22855790450663174,0.0016091954022989018,-0.205518829164945,0.0018
1.0,1,0,0.2449504844262876,0.02849315068493147,-0.18303886312767895,0.0002
1.0,0,1,0.017855138424976623,-0.40833333333333305,-0.5907468914373674,0.0023
1.0,1,1,0.1992573411453308,-0.03007751937984482,-0.24353826038491183,0.0007
3.0,0,0,0.10175177889773386,0.011928199189345718,-0.1310673529126652,0.0002
3.0,1,0,0.10429515378898166,0.016704288939051976,-0.12055592734661426,0.0002
3.0,0,1,-0.1308875220481917,-0.3231513476157567,-0.4533027812466279,0.0
3.0,1,1,0.06794923023719268,-0.030522648083623483,-0.17159413304541288,0.0
10.0,0,0,0.1149746896809534,0.02342995169082125,-0.07183189292350343,0.0
10.0,1,0,0.21509979892907108,0.043364928909952645,-0.066407225621464,0.0
10.0,0,1,-0.12368886666929302,-0.19709543568464719,-0.29084415113618356,0.0001
10.0,1,1,0.10373501719846735,0.014858490566037734,-0.10040517390009666,0.0
